created_stamp,modified_stamp,traditional,jyutping,correct,incorrect,difficulty,priority,last_reviewed_stamp
2021-03-09 19:28:37,2021-07-23 16:14:07,肉酸,juk6 syun1,1,0,100,,2021-03-16 16:38:44
2021-03-09 19:27:50,2021-07-23 16:14:07,收聲,sau1 seng1,1,0,100,,2021-03-16 16:46:34
2021-03-09 19:27:29,2021-07-23 16:14:07,八婆,baat3 po4,1,0,100,,2021-03-16 16:46:42
2021-03-09 19:25:22,2021-07-23 16:14:07,鬼佬,gwai2 lou2,1,0,100,,2021-03-16 16:38:14
2021-03-09 19:25:09,2021-07-23 16:14:07,遲啲,ci4 di1,1,0,100,,2021-03-16 16:47:04
2021-03-09 19:23:48,2021-07-30 18:24:45,新冠,san1 gun1,2,0,96,veryhigh,2021-08-12 04:08:58
2021-03-09 19:21:04,2021-07-23 16:14:07,聰明,cung1 ming4,1,0,100,,2021-03-16 16:45:58
2021-03-09 19:20:20,2021-07-23 16:14:07,濃密,nung4 mat6,0,0,100,,2021-03-09 19:42:04
2021-03-09 19:18:30,2021-07-23 16:14:07,學科,hok6 fo1,1,0,100,,2021-03-16 16:41:35
2021-03-09 19:17:50,2021-07-23 16:14:07,穆斯林,muk6 si1 lam4,1,3,90,,2021-03-26 15:02:38
2021-03-09 19:16:17,2021-07-23 16:14:07,肚,tou5,2,2,86,,2021-05-27 19:30:07
2021-03-09 19:15:13,2021-07-23 16:14:07,畫畫,waak6 waa2,1,0,100,,2021-03-16 16:47:42
2021-03-09 19:14:33,2021-07-23 16:14:07,老實,lou5 sat6,1,0,100,,2021-03-16 16:48:18
2021-03-09 19:14:07,2021-07-23 16:14:07,櫻花,jing1 faa1,1,0,100,,2021-03-16 16:48:07
2021-03-09 19:12:06,2021-07-23 16:14:07,類,leoi6,1,0,100,,2021-03-16 16:41:27
2021-02-16 20:15:28,2021-07-23 16:14:07,沖涼,cung1 loeng4,3,5,90,high,2021-08-14 16:37:51
2021-02-11 21:33:32,2021-07-23 16:14:07,國際,gwok3 zai3,2,0,100,,2021-03-16 16:32:59
2021-02-11 21:32:37,2021-07-23 16:14:07,見識,gin3 sik1,1,1,90,,2021-03-16 16:23:20
2021-02-11 21:28:12,2021-07-23 16:14:07,氣球,hei3 kau4,1,1,90,,2021-03-16 16:29:21
